2023-01-02 14:55:09,460 INFO    MainThread:6555 [wandb_setup.py:_flush():68] Configure stats pid to 6555
2023-01-02 14:55:09,461 INFO    MainThread:6555 [wandb_setup.py:_flush():68] Loading settings from /Users/philipherp/.config/wandb/settings
2023-01-02 14:55:09,461 INFO    MainThread:6555 [wandb_setup.py:_flush():68] Loading settings from /Users/philipherp/Documents/Udacity/Machine_Learning_DevOps/genre_classification/starter/preprocess/wandb/settings
2023-01-02 14:55:09,461 INFO    MainThread:6555 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'project': 'exercise_14', 'run_group': 'dev', '_require_service': 'True'}
2023-01-02 14:55:09,461 INFO    MainThread:6555 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'starter/preprocess/run.py', 'program': '/Users/philipherp/Documents/Udacity/Machine_Learning_DevOps/genre_classification/starter/preprocess/run.py'}
2023-01-02 14:55:09,461 INFO    MainThread:6555 [wandb_init.py:_log_setup():476] Logging user logs to /Users/philipherp/Documents/Udacity/Machine_Learning_DevOps/genre_classification/starter/preprocess/wandb/run-20230102_145509-1l1ihceh/logs/debug.log
2023-01-02 14:55:09,461 INFO    MainThread:6555 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/philipherp/Documents/Udacity/Machine_Learning_DevOps/genre_classification/starter/preprocess/wandb/run-20230102_145509-1l1ihceh/logs/debug-internal.log
2023-01-02 14:55:09,462 INFO    MainThread:6555 [wandb_init.py:init():516] calling init triggers
2023-01-02 14:55:09,462 INFO    MainThread:6555 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-01-02 14:55:09,462 INFO    MainThread:6555 [wandb_init.py:init():569] starting backend
2023-01-02 14:55:09,462 INFO    MainThread:6555 [wandb_init.py:init():573] setting up manager
2023-01-02 14:55:09,465 INFO    MainThread:6555 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-01-02 14:55:09,468 INFO    MainThread:6555 [wandb_init.py:init():580] backend started and connected
2023-01-02 14:55:09,470 INFO    MainThread:6555 [wandb_init.py:init():658] updated telemetry
2023-01-02 14:55:09,499 INFO    MainThread:6555 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-02 14:55:09,946 INFO    MainThread:6555 [wandb_run.py:_on_init():2006] communicating current version
2023-01-02 14:55:10,083 INFO    MainThread:6555 [wandb_run.py:_on_init():2010] got version response 
2023-01-02 14:55:10,083 INFO    MainThread:6555 [wandb_init.py:init():728] starting run threads in backend
2023-01-02 14:55:11,387 INFO    MainThread:6555 [wandb_run.py:_console_start():1986] atexit reg
2023-01-02 14:55:11,387 INFO    MainThread:6555 [wandb_run.py:_redirect():1844] redirect: 3
2023-01-02 14:55:11,387 INFO    MainThread:6555 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-01-02 14:55:11,388 INFO    MainThread:6555 [wandb_run.py:_redirect():1931] Redirects installed.
2023-01-02 14:55:11,388 INFO    MainThread:6555 [wandb_init.py:init():765] run started, returning control to user process
2023-01-02 14:55:18,504 WARNING MsgRouterThr:6555 [router.py:message_loop():77] message_loop has been closed
